 Time,human,robot
Sat Jul 23 12:22:41 2016,please call Stella,
Sat Jul 23 12:22:43 2016,,Sure
Sat Jul 23 12:22:45 2016,ask her to bring these things from the store,
Sat Jul 23 12:22:48 2016,,"Ok , ready   !"
Sat Jul 23 12:22:54 2016,,Got it
Sat Jul 23 12:22:51 2016,six spoons of fresh snow peas,
Sat Jul 23 12:23:25 2016,five thick slabs of blue cheese,
Sat Jul 23 12:23:28 2016,,I love cheese
Sat Jul 23 12:23:36 2016,,Missed
Sat Jul 23 12:23:31 2016,be sad forever brother 5,
Sat Jul 23 12:23:41 2016,we also need things for the kids,
Sat Jul 23 12:23:43 2016,,What do we need  ?
Sat Jul 23 12:23:46 2016,a small plastic snake and a big toy frog,
Sat Jul 23 12:23:50 2016,,Is that it  ?
Sat Jul 23 12:23:52 2016,she can scoop these things into three red bags,
Sat Jul 23 12:23:56 2016,,Specific but ok
Sat Jul 23 12:23:59 2016,we will go meet her wednesday at the train station,
Sat Jul 23 12:24:02 2016,,Perfect  .
Sat Jul 23 12:24:04 2016,your test is complete,
Sat Jul 23 12:24:05 2016,,Yay   !
