 Time,human,robot
Thu Jul 21 13:12:11 2016,any go many is true,
Thu Jul 21 13:12:14 2016,,Missed
Thu Jul 21 13:12:17 2016,any go 19 is times,
Thu Jul 21 13:12:20 2016,,Missed
Thu Jul 21 13:12:22 2016,i'm great pretty ready detest it,
Thu Jul 21 13:12:26 2016,,Missed
Thu Jul 21 13:12:27 2016,i'm great,
Thu Jul 21 13:12:29 2016,,Missed
Thu Jul 21 13:12:32 2016,i'm great and you ready to detest it,
Thu Jul 21 13:12:35 2016,,Missed
Thu Jul 21 13:12:37 2016,please call sullen,
Thu Jul 21 13:12:40 2016,,Missed
